TAG;PESO;SAT
ARTIGO-PUBLICADO;1;10
TRABALHO-EM-EVENTOS;1;10
DADOS-BASICOS-DO-TRABALHO;;10
DETALHAMENTO-DO-TRABALHO;;10
PARTICIPANTE-BANCA;0;10
INFORMACAO-ADICIONAL-INSTITUICAO;;10
PRODUCAO-CT-DO-PROJETO;;10
OUTRAS-ORIENTACOES-CONCLUIDAS;1;10
DADOS-BASICOS-DE-OUTRAS-ORIENTACOES-CONCLUIDAS;;10
DETALHAMENTO-DE-OUTRAS-ORIENTACOES-CONCLUIDAS;;10
VINCULOS;;10
ATUACAO-PROFISSIONAL;;10
PARTICIPACAO-EM-PROJETO;1;10
EQUIPE-DO-PROJETO;;10
INFORMACAO-ADICIONAL-CURSO;;10
CAPITULO-DE-LIVRO-PUBLICADO;1;10
DADOS-BASICOS-DO-CAPITULO;;10
DETALHAMENTO-DO-CAPITULO;;10
PARTICIPANTE-DE-EVENTOS-CONGRESSOS;1;10
ORIENTACOES-CONCLUIDAS-PARA-MESTRADO;1;10
DADOS-BASICOS-DE-ORIENTACOES-CONCLUIDAS-PARA-MESTRADO;;10
DETALHAMENTO-DE-ORIENTACOES-CONCLUIDAS-PARA-MESTRADO;;10
FINANCIADORES-DO-PROJETO;;10
FINANCIADOR-DO-PROJETO;;10
PARTICIPACAO-EM-CONGRESSO;1;10
DADOS-BASICOS-DA-PARTICIPACAO-EM-CONGRESSO;;10
DETALHAMENTO-DA-PARTICIPACAO-EM-CONGRESSO;;10
APRESENTACAO-DE-TRABALHO;1;10
DADOS-BASICOS-DA-APRESENTACAO-DE-TRABALHO;;10
DETALHAMENTO-DA-APRESENTACAO-DE-TRABALHO;;10
ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO;1;10
DADOS-BASICOS-DE-ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO;;10
DETALHAMENTO-DE-ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO;;10
PALAVRAS-CHAVE;;10
ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO;;10
PRODUCOES-CT-DO-PROJETO;;10
INFORMACOES-ADICIONAIS;;10
CURSO-DE-CURTA-DURACAO-MINISTRADO;1;10
DADOS-BASICOS-DE-CURSOS-CURTA-DURACAO-MINISTRADO;;10
DETALHAMENTO-DE-CURSOS-CURTA-DURACAO-MINISTRADO;;10
ORGANIZACAO-DE-EVENTO;1;10
DADOS-BASICOS-DA-ORGANIZACAO-DE-EVENTO;;10
DETALHAMENTO-DA-ORGANIZACAO-DE-EVENTO;;10
PARTICIPACAO-EM-BANCA-DE-MESTRADO;1;10
DADOS-BASICOS-DA-PARTICIPACAO-EM-BANCA-DE-MESTRADO;;10
DETALHAMENTO-DA-PARTICIPACAO-EM-BANCA-DE-MESTRADO;;10
PARTICIPACAO-EM-BANCA-DE-DOUTORADO;1;10
DADOS-BASICOS-DA-PARTICIPACAO-EM-BANCA-DE-DOUTORADO;;10
DETALHAMENTO-DA-PARTICIPACAO-EM-BANCA-DE-DOUTORADO;;10
PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO;1;10
DADOS-BASICOS-DA-PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO;;10
DETALHAMENTO-DA-PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO;;10
OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS;1;10
DADOS-BASICOS-DE-OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS;;10
DETALHAMENTO-DE-OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS;;10
AREAS-DO-CONHECIMENTO;;10
AREA-DO-CONHECIMENTO-1;;10
ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO;1;10
DADOS-BASICOS-DA-ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO;;10
DETALHAMENTO-DA-ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO;;10
DIRECAO-E-ADMINISTRACAO;1;10
AREA-DE-ATUACAO;;10
IDIOMA;;10
SOFTWARE;1;10
DADOS-BASICOS-DO-SOFTWARE;;10
DETALHAMENTO-DO-SOFTWARE;;10
PARTICIPACAO-EM-ENCONTRO;1;10
DADOS-BASICOS-DA-PARTICIPACAO-EM-ENCONTRO;;10
DETALHAMENTO-DA-PARTICIPACAO-EM-ENCONTRO;;10
ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA;1;10
DADOS-BASICOS-DA-ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA;;10
DETALHAMENTO-DA-ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA;;10
PREMIO-TITULO;1;10
AREA-DO-CONHECIMENTO-2;;10
PROGRAMA-DE-RADIO-OU-TV;1;10
DADOS-BASICOS-DO-PROGRAMA-DE-RADIO-OU-TV;;10
DETALHAMENTO-DO-PROGRAMA-DE-RADIO-OU-TV;;10
PARTICIPACAO-EM-SIMPOSIO;1;10
DADOS-BASICOS-DA-PARTICIPACAO-EM-SIMPOSIO;;10
DETALHAMENTO-DA-PARTICIPACAO-EM-SIMPOSIO;;10
CURRICULO-VITAE;;10
DADOS-GERAIS;;10
RESUMO-CV;;10
ENDERECO;;10
ENDERECO-PROFISSIONAL;;10
ENDERECO-RESIDENCIAL;;10
FORMACAO-ACADEMICA-TITULACAO;;10
GRADUACAO;;10
DOUTORADO;;10
ATUACOES-PROFISSIONAIS;;10
ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO;1;10
ATIVIDADES-DE-CONSELHO-COMISSAO-E-CONSULTORIA;1;10
CONSELHO-COMISSAO-E-CONSULTORIA;1;10
AREAS-DE-ATUACAO;;10
IDIOMAS;;10
PREMIOS-TITULOS;;10
PRODUCAO-BIBLIOGRAFICA;;10
TRABALHOS-EM-EVENTOS;;10
ARTIGOS-PUBLICADOS;;10
AREA-DO-CONHECIMENTO-3;;10
SETORES-DE-ATIVIDADE;;10
LIVROS-E-CAPITULOS;;10
CAPITULOS-DE-LIVROS-PUBLICADOS;;10
PRODUCAO-TECNICA;;10
TRABALHO-TECNICO;1;10
DADOS-BASICOS-DO-TRABALHO-TECNICO;;10
DETALHAMENTO-DO-TRABALHO-TECNICO;;10
DEMAIS-TIPOS-DE-PRODUCAO-TECNICA;1;10
OUTRA-PRODUCAO;1;10
PRODUCAO-ARTISTICA-CULTURAL;1;10
OUTRA-PRODUCAO-ARTISTICA-CULTURAL;1;10
DADOS-BASICOS-DE-OUTRA-PRODUCAO-ARTISTICA-CULTURAL;;10
DETALHAMENTO-DE-OUTRA-PRODUCAO-ARTISTICA-CULTURAL;;10
ORIENTACOES-CONCLUIDAS;;10
ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO;1;10
DADOS-BASICOS-DE-ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO;;10
DETALHAMENTO-DE-ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO;;10
DADOS-COMPLEMENTARES;;10
FORMACAO-COMPLEMENTAR;;10
FORMACAO-COMPLEMENTAR-CURSO-DE-CURTA-DURACAO;1;10
PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO;1;10
PARTICIPACAO-EM-EVENTOS-CONGRESSOS;1;10
ORIENTACOES-EM-ANDAMENTO;;10
ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO;1;10
DADOS-BASICOS-DA-ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO;;10
DETALHAMENTO-DA-ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO;;10
INFORMACOES-ADICIONAIS-INSTITUICOES;;10
INFORMACOES-ADICIONAIS-CURSOS;;10
